"Issue Type","Summary","Description","Priority","Sprint","Epic Link","Labels","Original Estimate","Assignee"
"Story","US-08 Estimar la ETA a partir de la posicion y la velocidad del buque","Como usuario de Compras, quiero que el sistema estime la ETA desde la posicion actual, para no depender del campo de texto libre que declara la tripulacion.

Criterios de aceptacion (Gherkin):
- Dada una posicion y una velocidad sobre tierra, cuando calculo la ETA, entonces uso la distancia PostGIS al destino dividida por la velocidad
- Dada una velocidad menor al minimo configurado, cuando calculo la ETA, entonces no la estimo y marco el pedido como 'ETA no estimable'
- Dada una ETA declarada por la fuente, cuando existe y es coherente, entonces registro ambas y la calculada es la que alimenta RN-01
- Dado el calculo, cuando lo consulto, entonces expone la distancia, la velocidad y la hora usadas para poder auditarlo

Definition of Done:
- Codigo con pruebas unitarias (cobertura minima 70%)
- Documentacion tecnica actualizada
- Revision con supervisor (Greivin) cuando aplique
- Merge a rama principal sin errores de CI

Origen en el SRS: RN-16 (nueva, Greivin)
MoSCoW: Must","Highest","Sprint 4","OE2-Backend","backend,calculo,regla-nueva","12h","mamayorga"
"Story","US-09 Calcular la fecha proyectada de disponibilidad","Como usuario de Planificacion, quiero la fecha proyectada de disponibilidad de cada pedido, para usarla como insumo del calculo de necesidades de materiales.

Criterios de aceptacion (Gherkin):
- Dado un pedido con ETA y destino con lead time, cuando ejecuto el calculo, entonces obtengo ETA mas lead time mas ajuste manual conforme a RN-01
- Dado un pedido con ATA confirmada, cuando calculo, entonces la ATA tiene precedencia sobre la ETA conforme a RN-14
- Dado un destino sin lead time definido, cuando calculo, entonces no produzco fecha proyectada y lo senalo

Definition of Done:
- Codigo con pruebas unitarias (cobertura minima 70%)
- Documentacion tecnica actualizada
- Revision con supervisor (Greivin) cuando aplique
- Merge a rama principal sin errores de CI

Origen en el SRS: RF-10 / RN-01
MoSCoW: Must","Highest","Sprint 4","OE2-Backend","backend,calculo","6h","mamayorga"
"Story","US-10 Determinar el estado logistico bajo el esquema de semaforo","Como usuario de Compras, quiero que cada pedido tenga su estado calculado automaticamente, para detectar de un vistazo cuales exigen atencion.

Criterios de aceptacion (Gherkin):
- Dado un pedido sin identificador, cuando evaluo su estado, entonces es 'Sin tracking' en gris
- Dada una fecha proyectada anterior o igual a la comprometida, cuando evaluo, entonces el estado es 'A tiempo' en verde
- Dada una fecha proyectada dentro del umbral de 48 h, cuando evaluo, entonces el estado es 'En riesgo' en naranja
- Dada una fecha proyectada posterior a la comprometida, cuando evaluo, entonces el estado es 'Retrasado' en rojo
- Dado el umbral de 48 h, cuando lo modifico en la tabla de parametros, entonces el recalculo lo aplica sin desplegar codigo

Definition of Done:
- Codigo con pruebas unitarias (cobertura minima 70%)
- Documentacion tecnica actualizada
- Revision con supervisor (Greivin) cuando aplique
- Merge a rama principal sin errores de CI

Origen en el SRS: RF-11 / RN-02 a RN-11
MoSCoW: Must","Highest","Sprint 4","OE2-Backend","backend,calculo,nucleo","12h","mamayorga"
"Story","US-11 Inferir el arribo a destino por geocerca de proximidad","Como usuario de Logistica, quiero que el sistema asuma el arribo cuando el buque entra en el radio del puerto, para no depender de que la fuente externa reporte la llegada.

Criterios de aceptacion (Gherkin):
- Dado un buque a menos del radio configurado (50 km por defecto) del destino, cuando evaluo su estado, entonces lo clasifico como 'En destino' conforme a RN-05
- Dado un buque dentro del radio pero con velocidad superior al umbral configurado, cuando evaluo, entonces NO lo doy por arribado, para descartar el trafico en transito hacia el Canal de Panama
- Dado el radio y el umbral de velocidad, cuando los modifico en la tabla de parametros, entonces se aplican sin desplegar codigo
- Dado un arribo inferido, cuando lo registro, entonces queda marcado como inferido y no como confirmado por la fuente

Definition of Done:
- Codigo con pruebas unitarias (cobertura minima 70%)
- Documentacion tecnica actualizada
- Revision con supervisor (Greivin) cuando aplique
- Merge a rama principal sin errores de CI

Origen en el SRS: RN-05 (revisada, Greivin)
MoSCoW: Must","Highest","Sprint 4","OE2-Backend","backend,calculo,regla-nueva","8h","mamayorga"
"Story","US-12 Recalcular fecha y estado ante cualquier cambio de insumo","Como sistema, quiero recalcular automaticamente cuando cambie un insumo, para que el dashboard nunca muestre un estado obsoleto.

Criterios de aceptacion (Gherkin):
- Dada una nueva lectura de ETA, cuando la persisto, entonces se recalculan fecha proyectada y estado del pedido
- Dado un cambio de lead time en el maestro de destinos, cuando lo guardo, entonces se recalculan todos los pedidos activos de ese destino
- Dado un fallo al recalcular un pedido, cuando ocurre, entonces los demas pedidos se recalculan igual conforme a RNF-14

Definition of Done:
- Codigo con pruebas unitarias (cobertura minima 70%)
- Documentacion tecnica actualizada
- Revision con supervisor (Greivin) cuando aplique
- Merge a rama principal sin errores de CI

Origen en el SRS: RF-12
MoSCoW: Must","Highest","Sprint 5","OE2-Backend","backend,calculo","8h","mamayorga"
"Story","US-13 Mantener el maestro de destinos y sus lead times","Como usuario de Logistica, quiero administrar los destinos y su lead time en dias, para que la fecha proyectada refleje la realidad de cada puerto.

Criterios de aceptacion (Gherkin):
- Dado un destino nuevo, cuando lo creo con via y lead time, entonces queda disponible para asociarse a pedidos
- Dado un lead time negativo o no numerico, cuando intento guardarlo, entonces el sistema lo rechaza e informa el formato esperado
- Dado un destino con pedidos activos, cuando intento desactivarlo, entonces el sistema advierte del impacto y pide confirmacion
- Dado un destino duplicado en nombre y via, cuando intento crearlo, entonces el sistema impide la duplicacion

Definition of Done:
- Codigo con pruebas unitarias (cobertura minima 70%)
- Documentacion tecnica actualizada
- Revision con supervisor (Greivin) cuando aplique
- Merge a rama principal sin errores de CI

Origen en el SRS: RF-23 / CU-06
MoSCoW: Must","Highest","Sprint 5","OE2-Backend","backend,maestros","10h","mamayorga"
"Story","US-14 Confirmar manualmente el desembarco de un pedido","Como usuario de Logistica, quiero registrar la llegada real de la carga, para corregir al sistema cuando la fuente automatica no la reporta.

Criterios de aceptacion (Gherkin):
- Dado un pedido no terminal, cuando registro la ATA con motivo, entonces la ATA prevalece sobre la ETA de la API conforme a RN-14
- Dada una fecha futura, cuando intento confirmarla, entonces el sistema la rechaza
- Dado un pedido con ATA ya confirmada, cuando la sobrescribo, entonces el sistema advierte y exige confirmacion explicita
- Dada la confirmacion, cuando se registra, entonces se recalculan fecha y estado y queda auditada

Definition of Done:
- Codigo con pruebas unitarias (cobertura minima 70%)
- Documentacion tecnica actualizada
- Revision con supervisor (Greivin) cuando aplique
- Merge a rama principal sin errores de CI

Origen en el SRS: RF-13 / CU-05
MoSCoW: Should","High","Sprint 5","OE2-Backend","backend,manual","8h","mamayorga"
"Story","US-15 Auditar toda intervencion manual sobre un pedido","Como supervisor, quiero la traza de cada cambio manual, para saber quien alteró un dato calculado y por que.

Criterios de aceptacion (Gherkin):
- Dada una intervencion manual, cuando se ejecuta, entonces se registra usuario, fecha, valor anterior, valor nuevo y motivo
- Dado un registro de auditoria, cuando intento alterarlo, entonces la operacion se rechaza
- Dado un pedido, cuando consulto su bitacora, entonces veo sus intervenciones en orden cronologico

Definition of Done:
- Codigo con pruebas unitarias (cobertura minima 70%)
- Documentacion tecnica actualizada
- Revision con supervisor (Greivin) cuando aplique
- Merge a rama principal sin errores de CI

Origen en el SRS: RF-14 / RNF-06
MoSCoW: Should","High","Sprint 5","OE4-Persistencia","backend,auditoria","8h","mamayorga"
"Story","US-16 Exponer los pedidos y su detalle por API REST","Como frontend, quiero endpoints REST de listado y detalle de pedidos, para construir la grilla y la vista de detalle.

Criterios de aceptacion (Gherkin):
- Dado el endpoint de listado, cuando lo consulto con filtros y paginacion, entonces devuelve los pedidos con su estado calculado
- Dado el endpoint de detalle, cuando consulto un pedido, entonces devuelve datos maestros, rastreo, ultima posicion y desglose del calculo
- Dado un identificador inexistente, cuando lo consulto, entonces responde 404 con cuerpo de error descriptivo

Definition of Done:
- Codigo con pruebas unitarias (cobertura minima 70%)
- Documentacion tecnica actualizada
- Revision con supervisor (Greivin) cuando aplique
- Merge a rama principal sin errores de CI

Origen en el SRS: RF-04 / RF-05 (backend)
MoSCoW: Must","Highest","Sprint 5","OE2-Backend","backend,api-rest","10h","mamayorga"
"Story","US-17 Mantener credenciales, umbrales y frecuencias fuera del codigo","Como administrador, quiero configurar credenciales y umbrales sin tocar el codigo, para ajustar el sistema sin un nuevo despliegue.

Criterios de aceptacion (Gherkin):
- Dadas las credenciales de API, cuando reviso el repositorio, entonces no aparecen en el codigo fuente ni en el control de versiones
- Dado el umbral de 48 h, cuando lo modifico en la tabla de parametros, entonces el proximo recalculo lo aplica
- Dado un parametro ausente, cuando arranca el sistema, entonces falla de forma explicita indicando cual falta

Definition of Done:
- Codigo con pruebas unitarias (cobertura minima 70%)
- Documentacion tecnica actualizada
- Revision con supervisor (Greivin) cuando aplique
- Merge a rama principal sin errores de CI

Origen en el SRS: RF-24 / RNF-07 / RNF-15
MoSCoW: Should","High","Sprint 5","OE2-Backend","backend,configuracion","6h","mamayorga"
"Story","US-18 Registrar la recepcion en planta y cerrar el pedido","Como usuario de Logistica, quiero registrar la recepcion efectiva en planta, para que el pedido pase a Cerrado y deje de consumir cuota de API.

Criterios de aceptacion (Gherkin):
- Dada una cantidad recibida dentro del margen del 10%, cuando la registro, entonces el pedido transita a 'Cerrado' conforme a RN-10
- Dada una cantidad por debajo del margen, cuando la registro, entonces el pedido NO se cierra y se ofrece el cierre forzado
- Dado un pedido cerrado, cuando corre el planificador, entonces no se consulta contra las APIs externas
- Dado un pedido cerrado, cuando calculo los KPIs, entonces no computa entre los pedidos activos

Definition of Done:
- Codigo con pruebas unitarias (cobertura minima 70%)
- Documentacion tecnica actualizada
- Revision con supervisor (Greivin) cuando aplique
- Merge a rama principal sin errores de CI

Origen en el SRS: RF-25 / RN-10
MoSCoW: Should","High","Sprint 5","OE2-Backend","backend,manual,ciclo-vida","8h","mamayorga"
"Task","TASK-04 Publicar la documentacion OpenAPI del backend","Como desarrollador, quiero la documentacion OpenAPI generada automaticamente, para cumplir RNF-17 y facilitar el trabajo del frontend.

Criterios de aceptacion (Gherkin):
- Dado el backend en ejecucion, cuando accedo a /docs, entonces veo Swagger UI con todos los endpoints
- Dado un endpoint nuevo, cuando lo agrego, entonces aparece documentado sin escribir el esquema a mano

Definition of Done:
- Codigo con pruebas unitarias (cobertura minima 70%)
- Documentacion tecnica actualizada
- Revision con supervisor (Greivin) cuando aplique
- Merge a rama principal sin errores de CI

Origen en el SRS: RNF-17
MoSCoW: Should","High","Sprint 5","OE2-Backend","backend,documentacion","4h","mamayorga"
"Task","TASK-05 Andamiaje del frontend React con TypeScript, Vite y Tailwind","Como desarrollador, quiero el proyecto de frontend configurado, para empezar a construir vistas sobre una base estable.

Criterios de aceptacion (Gherkin):
- Dado el repositorio, cuando ejecuto el arranque de desarrollo, entonces la aplicacion carga sin errores de compilacion
- Dado el proyecto, cuando ejecuto las pruebas, entonces Vitest corre y reporta cobertura
- Dada la configuracion, cuando construyo para produccion, entonces genera el bundle sin advertencias bloqueantes

Definition of Done:
- Codigo con pruebas unitarias (cobertura minima 70%)
- Documentacion tecnica actualizada
- Revision con supervisor (Greivin) cuando aplique
- Merge a rama principal sin errores de CI

Origen en el SRS: RNF (stack 5.8)
MoSCoW: Must","Highest","Sprint 6","OE3-Frontend","frontend,fundacional","6h","mamayorga"
"Story","US-19 Listar los pedidos en transito en una grilla ordenable","Como usuario de Compras, quiero ver todos los pedidos en una grilla, para revisar el estado de mi cartera de un vistazo.

Criterios de aceptacion (Gherkin):
- Dado un conjunto de pedidos, cuando abro el dashboard, entonces veo OC, material, proveedor, via, destino, ETA, fecha proyectada, fecha comprometida y estado
- Dada la grilla, cuando ordeno por una columna, entonces los datos se reordenan sin recargar la pagina
- Dado un volumen de 200 pedidos, cuando cargo la vista, entonces se pagina y responde en menos de 3 segundos

Definition of Done:
- Codigo con pruebas unitarias (cobertura minima 70%)
- Documentacion tecnica actualizada
- Revision con supervisor (Greivin) cuando aplique
- Merge a rama principal sin errores de CI

Origen en el SRS: RF-04 / RNF-01
MoSCoW: Must","Highest","Sprint 6","OE3-Frontend","frontend,grilla","12h","mamayorga"
"Story","US-20 Consultar el detalle completo de un pedido","Como usuario de Logistica, quiero ver el detalle de un pedido con el desglose del calculo, para entender por que tiene el estado que tiene.

Criterios de aceptacion (Gherkin):
- Dado un pedido, cuando abro su detalle, entonces veo datos maestros, identificador de rastreo, ultima posicion y fecha de la ultima consulta exitosa
- Dado el detalle, cuando reviso el calculo, entonces veo ETA, lead time y ajuste manual que produjeron la fecha proyectada
- Dado un pedido sin identificador, cuando abro su detalle, entonces se indica que no es rastreable y se ofrece asociar uno

Definition of Done:
- Codigo con pruebas unitarias (cobertura minima 70%)
- Documentacion tecnica actualizada
- Revision con supervisor (Greivin) cuando aplique
- Merge a rama principal sin errores de CI

Origen en el SRS: RF-05 / CU-03
MoSCoW: Must","Highest","Sprint 6","OE3-Frontend","frontend,detalle","10h","mamayorga"
"Story","US-21 Filtrar el dashboard de forma transversal y coherente","Como usuario de Compras, quiero filtrar por OC, proveedor, material, via, estado y destino, para concentrarme en el subconjunto que me interesa.

Criterios de aceptacion (Gherkin):
- Dado un filtro aplicado, cuando se procesa, entonces la cinta de KPIs, la grilla y ambos mapas reflejan el mismo subconjunto
- Dada una combinacion sin resultados, cuando se aplica, entonces se muestra la vista vacia con la opcion de limpiar filtros
- Dado un filtro, cuando lo aplico, entonces la vista se actualiza en menos de 1 segundo y sin recarga completa

Definition of Done:
- Codigo con pruebas unitarias (cobertura minima 70%)
- Documentacion tecnica actualizada
- Revision con supervisor (Greivin) cuando aplique
- Merge a rama principal sin errores de CI

Origen en el SRS: RF-19 / CU-04 / RNF-02
MoSCoW: Must","Highest","Sprint 6","OE3-Frontend","frontend,filtros","12h","mamayorga"
"Story","US-22 Mostrar la cinta de indicadores KPI","Como gerencia de operaciones, quiero una cinta de indicadores agregados, para evaluar el desempeno de la cartera sin entrar al detalle.

Criterios de aceptacion (Gherkin):
- Dado un conjunto de pedidos, cuando cargo el dashboard, entonces veo pedidos activos, porcentaje a tiempo, en riesgo y retrasados, y lead time promedio
- Dado un filtro activo, cuando cambia, entonces los indicadores se recalculan sobre el subconjunto filtrado
- Dado un pedido en estado terminal, cuando calculo los KPIs, entonces no computa entre los activos

Definition of Done:
- Codigo con pruebas unitarias (cobertura minima 70%)
- Documentacion tecnica actualizada
- Revision con supervisor (Greivin) cuando aplique
- Merge a rama principal sin errores de CI

Origen en el SRS: RF-15
MoSCoW: Must","Highest","Sprint 6","OE3-Frontend","frontend,kpi","8h","mamayorga"
"Story","US-23 Indicar la frescura de los datos en el encabezado","Como usuario, quiero saber de cuando son los datos que estoy viendo, para juzgar si puedo confiar en ellos para decidir.

Criterios de aceptacion (Gherkin):
- Dado un ciclo de consulta ejecutado, cuando abro el dashboard, entonces el encabezado muestra la fecha y hora de la ultima actualizacion
- Dada una sincronizacion fallida, cuando ocurre, entonces el encabezado senala la incidencia y la antiguedad del ultimo dato valido

Definition of Done:
- Codigo con pruebas unitarias (cobertura minima 70%)
- Documentacion tecnica actualizada
- Revision con supervisor (Greivin) cuando aplique
- Merge a rama principal sin errores de CI

Origen en el SRS: RF-20 / RNF-12
MoSCoW: Should","High","Sprint 6","OE3-Frontend","frontend,ux","4h","mamayorga"
"Story","US-24 Aplicar el semaforo de estados de forma consistente","Como usuario sin formacion tecnica, quiero que el color signifique lo mismo en toda la interfaz, para interpretar el estado sin aprender convenciones.

Criterios de aceptacion (Gherkin):
- Dado un pedido en un estado, cuando lo veo en la grilla y en el mapa, entonces el color es el mismo en ambos
- Dados los siete estados de la seccion 7.2, cuando los represento, entonces cada uno usa el color que fija su regla de negocio
- Dada la paleta, cuando la reviso, entonces los colores mantienen contraste suficiente para lectura a distancia

Definition of Done:
- Codigo con pruebas unitarias (cobertura minima 70%)
- Documentacion tecnica actualizada
- Revision con supervisor (Greivin) cuando aplique
- Merge a rama principal sin errores de CI

Origen en el SRS: RNF-08 / RN-02 a RN-15
MoSCoW: Must","Highest","Sprint 6","OE3-Frontend","frontend,ux","4h","mamayorga"
"Story","US-25 Presentar el mapa interactivo maritimo con posiciones actuales","Como usuario de Logistica, quiero ver mis buques en un mapa, para ubicar geograficamente la carga y su estado.

Criterios de aceptacion (Gherkin):
- Dados pedidos maritimos con posicion, cuando abro el mapa, entonces cada buque aparece como marcador coloreado por estado
- Dado un filtro activo, cuando cambia, entonces el mapa muestra solo los buques del subconjunto
- Dada una nave sin lectura reciente, cuando la represento, entonces la diferencio visualmente e indico la antiguedad del dato
- Dadas varias naves proximas, cuando se solapan, entonces se agrupan y se despliegan al acercar la vista

Definition of Done:
- Codigo con pruebas unitarias (cobertura minima 70%)
- Documentacion tecnica actualizada
- Revision con supervisor (Greivin) cuando aplique
- Merge a rama principal sin errores de CI

Origen en el SRS: RF-16 / CU-07
MoSCoW: Must","Highest","Sprint 7","OE3-Frontend","frontend,mapas,leaflet","12h","mamayorga"
"Story","US-26 Presentar el mapa interactivo aereo separado del maritimo","Como usuario de Compras, quiero un mapa aereo independiente, para seguir los embarques por avion sin mezclarlos con los maritimos.

Criterios de aceptacion (Gherkin):
- Dados pedidos aereos con posicion, cuando abro el mapa aereo, entonces cada aeronave aparece con el mismo esquema de color por estado
- Dado un vuelo finalizado que ya no emite, cuando lo represento, entonces muestro la ultima posicion e indico que el vuelo concluyo
- Dada una aeronave fuera de cobertura ADS-B, cuando la represento, entonces conservo la ultima posicion valida y senalo su antiguedad

Definition of Done:
- Codigo con pruebas unitarias (cobertura minima 70%)
- Documentacion tecnica actualizada
- Revision con supervisor (Greivin) cuando aplique
- Merge a rama principal sin errores de CI

Origen en el SRS: RF-17 / CU-08
MoSCoW: Must","Highest","Sprint 7","OE3-Frontend","frontend,mapas,leaflet","8h","mamayorga"
"Story","US-27 Mostrar informacion emergente en los marcadores del mapa","Como usuario, quiero ver los datos del pedido al posarme sobre su marcador, para obtener contexto sin salir del mapa.

Criterios de aceptacion (Gherkin):
- Dado un marcador, cuando poso el cursor o lo selecciono, entonces veo OC, material, proveedor, ETA, fecha proyectada y estado
- Dado un marcador seleccionado, cuando lo activo, entonces puedo navegar al detalle del pedido

Definition of Done:
- Codigo con pruebas unitarias (cobertura minima 70%)
- Documentacion tecnica actualizada
- Revision con supervisor (Greivin) cuando aplique
- Merge a rama principal sin errores de CI

Origen en el SRS: RF-18 (Media en SRS)
MoSCoW: Could","Medium","Sprint 7","OE3-Frontend","frontend,mapas","6h","mamayorga"
