categoria,oc_numero,posicion,centro,proveedor_id,proveedor_nombre,material,material_texto,solicitud_pedido,solicitud_posicion,fecha_solped,fecha_entrega_solped,fecha_pedido,cantidad_reparto,ump,ctd_entregada,fecha_entrega,ctd_pendiente,fecha_estadistica,comprador,grupo_compra,estatus,diferencia_dias,concatenar,fecha_llegada_gutis,fecha_lead_time_sap,fabricante,po_forwarder,incoterm,tipo_pago,zca_coa_sap,status_coa,cantidad_lotes,entrega_entrante,tipo_proveedor,temperatura,pais_origen,tipo_transporte,eta_cr,arribo_cr,recibo
PRODUCCION,4500017121,10,CR10,PROV-0003,Proveedor 0003,11000081,Levomepromacina maleato,1000029433,10,2026-03-10,2026-08-24,2026-05-11,26740,G,0,2026-07-17,26740,2026-06-30,comprador-0001,A00,Atrasado,-42,450001712110,2026-07-17,,Fabricante 0003,,CIP,CREDITO,ZCA640000000035,SI,PENDIENTE,PENDIENTE,INTERNACIONAL,Ambiente,FRANCIA,AEREO,PENDIENTE,SI,693082
PRODUCCION,4500018675,10,CR10,PROV-0004,Proveedor 0004,11000380,5-hidroxi-triptofano,1000035541,10,2026-07-17,2026-08-12,2026-07-21,50000,G,0,2026-09-18,50000,2026-09-18,comprador-0001,A00,A Tiempo,21,450001867510,2026-09-18,,Fabricante 0004,N/A,CIP,CREDITO,ZCA640000000120,SI,1,PENDIENTE,INTERNACIONAL,Ambiente,CHINA,AEREO,2026-08-29,SI,693098
PRODUCCION,4500018865,10,CR10,PROV-0005,Proveedor 0005,11000048,Espironolactona,1000035766,10,2026-07-20,2026-12-01,2026-09-29,660000,G,0,2026-10-01,660000,2026-08-21,comprador-0001,A00,Atrasado,-7,450001886510,2026-08-21,,Fabricante 0005,611,FCA,CONTADO / PENDIENTE,PENDIENTE,PENDIENTE,PENDIENTE,PENDIENTE,INTERNACIONAL,Ambiente,CHINA,PENDIENTE,PENDIENTE,PENDIENTE,PENDIENTE
PRODUCCION,4500014932,20,CR10,PROV-0006,Proveedor 0006,11000234,Tiocolchicósido,1000027929,10,2026-01-26,2026-10-07,2026-01-26,30000,G,0,2026-09-25,30000,2026-09-25,comprador-0001,A00,A Tiempo,28,450001493220,2026-09-25,2026-01-26,Fabricante 0006,N/A,CIP,CONTADO / PENDIENTE,,PENDIENTE,PENDIENTE,PENDIENTE,INTERNACIONAL,Ambiente,INDIA,AEREO,PENDIENTE,PENDIENTE,PENDIENTE
PRODUCCION,4500016110,20,CR10,PROV-0007,Proveedor 0007,11000324,Dienogest,1000029498,10,2026-03-10,2026-11-14,2026-03-11,20000,G,0,2026-10-23,20000,2026-10-23,comprador-0001,A00,A Tiempo,56,450001611020,2026-09-18,2026-03-10,Fabricante 0007,N/A,CIP,CONTADO / PENDIENTE,,PENDIENTE,PENDIENTE,PENDIENTE,INTERNACIONAL,Ambiente,INDIA,AEREO,PENDIENTE,PENDIENTE,PENDIENTE
PRODUCCION,4500016112,20,CR10,PROV-0007,Proveedor 0007,11000325,Estradiol valerato (regulado),1000029499,10,2026-03-10,2026-10-24,2026-03-11,10000,G,0,2026-09-25,10000,2026-09-25,comprador-0001,A00,A Tiempo,28,450001611220,2026-09-18,2026-03-10,Fabricante 0007,N/A,CIP,CONTADO / PENDIENTE,,PENDIENTE,PENDIENTE,PENDIENTE,INTERNACIONAL,Ambiente,INDIA,AEREO,PENDIENTE,PENDIENTE,PENDIENTE
PRODUCCION,4500016157,20,CR10,PROV-0008,Proveedor 0008,11000278,Pelargonium sidoides (extrac. seco raiz),1000029496,10,2026-03-10,2026-09-07,2026-03-13,300000,G,0,2026-08-07,300000,2026-08-07,comprador-0001,A00,Atrasado,-21,450001615720,2026-08-07,2026-06-18,Fabricante 0008,N/A,CIF,CREDITO,PENDIENTE,PENDIENTE,PENDIENTE,PENDIENTE,LOCAL,Ambiente,ALEMANIA,MARITIMO,PENDIENTE,PENDIENTE,PENDIENTE
PRODUCCION,4500016158,30,CR10,PROV-0009,Proveedor 0009,11000108,Piridoxina clorhidrato (vitamina b6),1000029489,10,2026-03-10,2026-09-14,2026-03-13,600000,G,0,2026-08-21,600000,2026-08-21,comprador-0001,A00,Atrasado,-7,450001615830,2026-08-21,2026-03-10,Fabricante 0009,N/A,FCA,CONTADO / SI,ZCA640000000067,SI,PENDIENTE,PENDIENTE,INTERNACIONAL,Ambiente,CHINA,MARITIMO,PENDIENTE,PENDIENTE,PENDIENTE
PRODUCCION,4500016161,20,CR10,PROV-0005,Proveedor 0005,11000124,Sulfametoxazol,1000029490,10,2026-03-10,2026-11-24,2026-03-13,200000,G,0,2026-10-09,200000,2026-10-09,comprador-0001,A00,A Tiempo,42,450001616120,2026-10-09,,Fabricante 0010,540,CIF,CREDITO,PENDIENTE,PENDIENTE,PENDIENTE,PENDIENTE,INTERNACIONAL,Ambiente,INDIA,MARITIMO,PENDIENTE,PENDIENTE,PENDIENTE
PRODUCCION,4500016172,20,CR10,PROV-0001,Proveedor 0001,11000371,Colágeno hidrolizado bovino,1000029501,10,2026-03-10,2026-09-02,2026-03-13,600000,G,0,2026-09-18,600000,2026-09-18,comprador-0001,A00,A Tiempo,21,450001617220,2026-09-18,2026-03-10,Fabricante 0001,N/A,CIF LIMON,CREDITO,ZCA640000000028,SI,PENDIENTE,PENDIENTE,INTERNACIONAL,AMBIENTE,BRASIL,MARITIMO,PENDIENTE,PENDIENTE,PENDIENTE
PRODUCCION,4500016172,30,CR10,PROV-0001,Proveedor 0001,11000371,Colágeno hidrolizado bovino,1000029501,10,2026-03-10,2026-09-02,2026-03-13,5400000,G,0,2026-09-18,5400000,2026-09-18,comprador-0001,A00,A Tiempo,21,450001617230,2026-09-18,2026-03-10,Fabricante 0001,N/A,CIF LIMON,CREDITO,ZCA640000000028,SI,PENDIENTE,PENDIENTE,INTERNACIONAL,AMBIENTE,BRASIL,MARITIMO,PENDIENTE,PENDIENTE,PENDIENTE
PRODUCCION,4500016172,40,CR10,PROV-0001,Proveedor 0001,11000371,Colágeno hidrolizado bovino,1000029501,10,2026-03-10,2026-09-02,2026-03-13,6000000,G,0,2026-09-18,6000000,2026-09-18,comprador-0001,A00,A Tiempo,21,450001617240,2026-09-18,2026-03-10,Fabricante 0001,N/A,CIF LIMON,CREDITO,ZCA640000000028,SI,PENDIENTE,PENDIENTE,INTERNACIONAL,AMBIENTE,BRASIL,MARITIMO,PENDIENTE,PENDIENTE,PENDIENTE
PRODUCCION,4500016172,50,CR10,PROV-0001,Proveedor 0001,11000371,Colágeno hidrolizado bovino,1000029501,10,2026-03-10,2026-09-02,2026-03-13,600000,G,0,2026-09-18,600000,2026-09-18,comprador-0001,A00,A Tiempo,21,450001617250,2026-09-18,2026-03-10,Fabricante 0001,N/A,CIF LIMON,CREDITO,ZCA640000000028,SI,PENDIENTE,PENDIENTE,INTERNACIONAL,AMBIENTE,BRASIL,MARITIMO,PENDIENTE,PENDIENTE,PENDIENTE
PRODUCCION,4500016172,60,CR10,PROV-0001,Proveedor 0001,11000371,Colágeno hidrolizado bovino,1000029501,10,2026-03-10,2026-09-02,2026-03-13,5400000,G,0,2026-09-18,5400000,2026-09-18,comprador-0001,A00,A Tiempo,21,450001617260,2026-09-18,2026-03-10,Fabricante 0001,N/A,CIF LIMON,CREDITO,ZCA640000000028,SI,PENDIENTE,PENDIENTE,INTERNACIONAL,AMBIENTE,BRASIL,MARITIMO,PENDIENTE,PENDIENTE,PENDIENTE
PRODUCCION,4500016172,70,CR10,PROV-0001,Proveedor 0001,11000371,Colágeno hidrolizado bovino,1000029501,10,2026-03-10,2026-09-02,2026-03-13,2100000,G,0,2026-09-18,2100000,2026-09-18,comprador-0001,A00,A Tiempo,21,450001617270,2026-09-18,2026-03-10,Fabricante 0001,N/A,CIF LIMON,CREDITO,ZCA640000000028,SI,PENDIENTE,PENDIENTE,INTERNACIONAL,AMBIENTE,BRASIL,MARITIMO,PENDIENTE,PENDIENTE,PENDIENTE
PRODUCCION,4500016172,80,CR10,PROV-0001,Proveedor 0001,11000371,Colágeno hidrolizado bovino,1000029501,10,2026-03-10,2026-09-02,2026-03-13,3900000,G,0,2026-09-18,3900000,2026-09-18,comprador-0001,A00,A Tiempo,21,450001617280,2026-09-18,2026-03-10,Fabricante 0001,N/A,CIF LIMON,CREDITO,ZCA640000000028,SI,PENDIENTE,PENDIENTE,INTERNACIONAL,AMBIENTE,BRASIL,MARITIMO,PENDIENTE,PENDIENTE,PENDIENTE
PRODUCCION,4500016172,10,CR10,PROV-0001,Proveedor 0001,11000371,Colágeno hidrolizado bovino,1000029501,10,2026-03-10,2026-09-02,2026-03-13,6000000,G,0,2026-09-18,6000000,2026-08-14,comprador-0001,A00,A Tiempo,21,450001617210,2026-09-18,2026-03-10,Fabricante 0001,N/A,CIF LIMON,CREDITO,ZCA640000000028,SI,PENDIENTE,PENDIENTE,INTERNACIONAL,Ambiente,BRASIL,MARITIMO,PENDIENTE,PENDIENTE,PENDIENTE
PRODUCCION,4500016174,10,CR10,PROV-0001,Proveedor 0001,11000371,Colágeno hidrolizado bovino,1000029502,10,2026-03-10,2026-12-02,2026-03-13,30000000,G,0,2026-11-13,30000000,2026-11-13,comprador-0001,A00,A Tiempo,77,450001617410,2026-09-18,2026-03-10,Fabricante 0001,N/A,CIF LIMON,CREDITO,,PENDIENTE,PENDIENTE,PENDIENTE,INTERNACIONAL,Ambiente,BRASIL,MARITIMO,PENDIENTE,PENDIENTE,PENDIENTE
PRODUCCION,4500016175,20,CR10,PROV-0005,Proveedor 0005,11000315,Condroitina sulfato,1000029459,10,2026-03-10,2026-09-23,2026-03-13,4000000,G,0,2026-08-28,4000000,2026-08-28,comprador-0001,A00,A Tiempo,0,450001617520,2026-08-28,2026-03-10,Fabricante 0011,537,CIF,CONTADO / SI,ZCA640000000084,APROBADO,PENDIENTE,PENDIENTE,INTERNACIONAL,Ambiente,CHINA,MARITIMO,PENDIENTE,PENDIENTE,PENDIENTE
PRODUCCION,4500016181,10,CR10,PROV-0010,Proveedor 0010,11000056,Fenobarbital,1000028460,10,2026-02-18,2026-07-31,2026-03-14,100000,G,0,2026-10-16,100000,2026-07-31,comprador-0001,A00,A Tiempo,49,450001618110,2026-06-18,,Fabricante 0012,N/A,CIP,CONTADO / SI,PENDIENTE,PENDIENTE,PENDIENTE,PENDIENTE,INTERNACIONAL,Ambiente,CHINA,AEREO,PENDIENTE,PENDIENTE,PENDIENTE
PRODUCCION,4500016184,10,CR10,PROV-0002,Proveedor 0002,11000155,Gemfibrozil,1000028504,10,2026-02-18,2026-07-28,2026-03-14,13125000,G,0,2026-07-28,13125000,2026-07-28,comprador-0001,A00,Atrasado,-31,450001618410,2026-07-28,2026-05-29,Fabricante 0013,107,CIF,CONTADO / SI,N/A,SI,21,"180015669
180015670
180015671
180015672
180015673
180015674
180015675
180015676
180015677
180015678
180015679
180015680
180015681
180015682
180015683
180015684
180015685
180015686
180015687
180015688
180015689",LOCAL,Ambiente,CHINA,MARITIMO,46202,SI,680632
PRODUCCION,4500016185,10,CR10,PROV-0002,Proveedor 0002,11000155,Gemfibrozil,1000029492,10,2026-03-10,2027-01-09,2026-03-14,10000000,G,0,2026-12-11,10000000,2026-12-11,comprador-0001,A00,A Tiempo,105,450001618510,2026-12-11,2026-06-18,Fabricante 0013,108,CIF,CONTADO / SI,ZCA640000000137,APROBADO,PENDIENTE,PENDIENTE,INTERNACIONAL,Ambiente,CHINA,MARITIMO,PENDIENTE,PENDIENTE,ENVIADO
PRODUCCION,4500016186,10,CR10,PROV-0002,Proveedor 0002,11000155,Gemfibrozil,1000029493,10,2026-03-10,2027-03-04,2026-03-14,10000000,G,0,2027-02-12,10000000,2027-02-12,comprador-0001,A00,A Tiempo,168,450001618610,2027-02-12,2026-06-18,Fabricante 0013,109,CIF,CONTADO / SOLICITADO,PENDIENTE,PENDIENTE,PENDIENTE,PENDIENTE,INTERNACIONAL,Ambiente,CHINA,MARITIMO,PENDIENTE,PENDIENTE,PENDIENTE
PRODUCCION,4500016187,20,CR10,PROV-0011,Proveedor 0011,11000268,Hedera helix extracto seco,1000029435,10,2026-03-10,2026-09-07,2026-03-14,350000,G,0,2026-08-14,350000,2026-08-14,comprador-0001,A00,Atrasado,-14,450001618720,2026-08-14,2026-03-10,Fabricante 0014,N/A,CIF,CONTADO / SI,ZCA640000000020,SI,PENDIENTE,PENDIENTE,INTERNACIONAL,Ambiente,CHINA,MARITIMO,PENDIENTE,PENDIENTE,691076
PRODUCCION,4500016189,20,CR10,PROV-0012,Proveedor 0012,11000314,N- acetil glucosamina,1000029457,10,2026-03-10,2026-09-23,2026-03-14,7000000,G,0,2026-08-28,7000000,2026-08-28,comprador-0001,A00,A Tiempo,0,450001618920,2026-08-28,2026-03-10,Fabricante 0015,N/A,CIF,CREDITO,N/A,SI,PENDIENTE,"180015915
180015916 
180015917",INTERNACIONAL,Ambiente,CHINA,MARITIMO,46231,SI,686805
PRODUCCION,4500016222,20,CR10,PROV-0005,Proveedor 0005,11000003,Alopurinol,1000029483,10,2026-03-10,2026-10-09,2026-03-18,1600000,G,0,2026-09-30,1600000,2026-09-30,comprador-0001,A00,A Tiempo,33,450001622220,2026-09-30,2026-03-10,Fabricante 0016,545,CIF,CONTADO / SI,PENDIENTE,PENDIENTE,PENDIENTE,PENDIENTE,INTERNACIONAL,Ambiente,INDIA,MARITIMO,PENDIENTE,PENDIENTE,PENDIENTE
PRODUCCION,4500016277,10,CR10,PROV-0013,Proveedor 0013,11000463,Creatina,1000030753,10,2026-03-20,2026-04-27,2026-03-20,1300000,G,0,2026-09-04,1300000,2026-05-08,comprador-0001,A00,A Tiempo,7,450001627710,2026-09-04,2026-03-20,Fabricante 0017,N/A,FOB,CREDITO,N/A,SI,PENDIENTE,PENDIENTE,INTERNACIONAL,Ambiente,CHINA,MARITIMO,46259,PENDIENTE,687280
PRODUCCION,4500016428,10,CR10,PROV-0014,Proveedor 0014,11000265,Esomeprazol magnesio trihidratado,1000029528,10,2026-03-11,2026-06-19,2026-03-30,50000,G,0,2026-08-31,50000,2026-06-12,comprador-0001,A00,A Tiempo,3,450001642810,2026-07-24,,Fabricante 0018,N/A,CIP,CREDITO,N/A,SI,1,PENDIENTE,INTERNACIONAL,Ambiente,INDIA,AEREO,PENDIENTE,PENDIENTE,PENDIENTE
PRODUCCION,4500016428,20,CR10,PROV-0014,Proveedor 0014,11000265,Esomeprazol magnesio trihidratado,1000029528,10,2026-03-11,2026-06-19,2026-03-30,250000,G,0,2026-10-30,250000,2026-09-04,comprador-0001,A00,A Tiempo,63,450001642820,2026-09-04,,Fabricante 0018,N/A,CIF,CREDITO,N/A,SI,1,PENDIENTE,INTERNACIONAL,Ambiente,INDIA,MARITIMO,PENDIENTE,PENDIENTE,PENDIENTE
PRODUCCION,4500017118,20,CR10,PROV-0005,Proveedor 0005,11000333,Tetrahidrocurcumina,1000029464,10,2026-03-10,2026-07-04,2026-05-11,1100000,G,0,2026-08-30,1100000,2026-07-04,comprador-0001,A00,A Tiempo,2,450001711820,2026-07-04,2026-06-18,Fabricante 0019,567,CIF,CONTADO / SOLICITADO,ZCA640000000187 / ZCA640000000119,PENDIENTE,PENDIENTE,PENDIENTE,INTERNACIONAL,Ambiente,CHINA,MARITIMO,PENDIENTE,PENDIENTE,PENDIENTE
PRODUCCION,4500017118,10,CR10,PROV-0005,Proveedor 0005,11000333,Tetrahidrocurcumina,1000029464,10,2026-03-10,2026-07-04,2026-05-11,900000,G,0,2026-08-30,900000,2026-07-04,comprador-0001,A00,A Tiempo,2,450001711810,2026-07-04,2026-06-18,Fabricante 0019,567,CIF,CONTADO / SOLICITADO,ZCA640000000187 / ZCA640000000119,PENDIENTE,PENDIENTE,PENDIENTE,INTERNACIONAL,Ambiente,CHINA,MARITIMO,PENDIENTE,PENDIENTE,PENDIENTE
PRODUCCION,4500017207,10,CR10,PROV-0015,Proveedor 0015,11000110,Potasio gluconato anhidra,1000031777,10,2026-05-15,2026-12-15,2026-05-14,1200000,G,0,2026-12-15,1200000,2026-12-15,comprador-0001,A00,A Tiempo,109,450001720710,2026-12-15,,Fabricante 0020,N/A,EXW,CREDITO,ZCA640000000106,SI,PENDIENTE,PENDIENTE,INTERNACIONAL,Ambiente,BELGICA,MARITIMO,PENDIENTE,PENDIENTE,PENDIENTE
PRODUCCION,4500017214,10,CR10,PROV-0016,Proveedor 0016,11000057,Fenobarbital sódico,1000031773,10,2026-04-23,2026-09-14,2026-05-15,4000,G,0,2026-07-31,4000,2026-07-31,comprador-0001,A00,Atrasado,-28,450001721410,2026-07-31,,Fabricante 0021,N/A,CIP,CONTADO / SI,PENDIENTE,PENDIENTE,PENDIENTE,PENDIENTE,INTERNACIONAL,Ambiente,HUNGRIA,AEREO,PENDIENTE,PENDIENTE,PENDIENTE
PRODUCCION,4500017279,10,CR10,PROV-0017,Proveedor 0017,11000213,Clozapina,1000031809,10,2026-04-23,2026-11-26,2026-05-19,120000,G,0,2026-11-26,120000,2026-06-19,comprador-0001,A00,A Tiempo,90,450001727910,2026-11-19,,Fabricante 0022,N/A,FOB,CONTADO / SI,ZCA640000000063,SI,PENDIENTE,PENDIENTE,INTERNACIONAL,Ambiente,INDIA,MARITIMO,PENDIENTE,PENDIENTE,691067
PRODUCCION,4500017370,10,CR10,PROV-0018,Proveedor 0018,11000023,Clonazepan,1000031262,10,2026-04-16,2026-06-15,2026-05-21,20000,G,0,2026-09-20,20000,2026-07-31,comprador-0001,A00,A Tiempo,23,450001737010,2026-09-20,,Fabricante 0023,N/A,CIP,CONTADO / SI,,PENDIENTE,PENDIENTE,PENDIENTE,INTERNACIONAL,Ambiente,INDIA,AEREO,PENDIENTE,PENDIENTE,PENDIENTE
PRODUCCION,4500017478,10,CR10,PROV-0005,Proveedor 0005,11000092,Metronidazol,1000032909,10,2026-05-14,2026-08-22,2026-05-27,575000,G,0,2026-06-30,575000,2026-06-30,comprador-0002,A00,Atrasado,-59,450001747810,2026-06-30,,Fabricante 0024,576,FCA,CREDITO,ZCA640000000021,SI,PENDIENTE,PENDIENTE,INTERNACIONAL,Ambiente,,,PENDIENTE,PENDIENTE,PENDIENTE
PRODUCCION,4500017578,10,CR10,PROV-0019,Proveedor 0019,11000231,Sertralina clorhidrato,1000032907,10,2026-05-14,2026-08-30,2026-06-01,100000,G,0,2026-09-14,100000,2026-07-31,comprador-0002,A00,A Tiempo,17,450001757810,2026-09-14,,Fabricante 0025,N/A,CIP,CONTADO / SI,ZCA640000000105,SI,PENDIENTE,PENDIENTE,INTERNACIONAL,Ambiente,INDIA,AEREO,PENDIENTE,PENDIENTE,PENDIENTE
PRODUCCION,4500017716,10,CR10,PROV-0020,Proveedor 0020,11000086,Lorazepam,1000032911,10,2026-05-14,2026-10-06,2026-06-08,25000,G,0,2026-09-25,25000,2026-09-25,comprador-0001,A00,A Tiempo,28,450001771610,2026-09-25,,Fabricante 0026,N/A,FCA,CONTADO / PENDIENTE,PENDIENTE,PENDIENTE,PENDIENTE,PENDIENTE,INTERNACIONAL,Ambiente,INDIA,AEREO,PENDIENTE,PENDIENTE,PENDIENTE
PRODUCCION,4500017718,10,CR10,PROV-0021,Proveedor 0021,11000016,Bisacodilo,1000032904,10,2026-05-14,2026-08-22,2026-06-08,300,G,0,2026-09-18,300,2026-07-31,comprador-0001,A00,A Tiempo,21,450001771810,2026-09-18,,Fabricante 0027,N/A,CIP,CONTADO SI,PENDIENTE,PENDIENTE,PENDIENTE,PENDIENTE,INTERNACIONAL,Ambiente,INDIA,AEREO,PENDIENTE,PENDIENTE,PENDIENTE
PRODUCCION,4500017758,20,CR10,PROV-0022,Proveedor 0022,11000171,Ascorbato de sodio en cristales,1000029428,10,2026-03-10,2026-09-07,2026-06-08,300000,G,0,2026-09-07,300000,2026-06-19,comprador-0001,A00,A Tiempo,10,450001775820,2026-09-07,,Fabricante 0028,N/A,FOB,CONTADO / SI,ZCA640000000066,SI,PENDIENTE,PENDIENTE,INTERNACIONAL,Entre 15°-25° C,INDIA,AEREO,PENDIENTE,PENDIENTE,691072
PRODUCCION,4500018066,10,CR10,PROV-0023,Proveedor 0023,11000111,Prednisolona anhidra,1000034237,10,2026-06-16,2026-09-24,2026-06-22,225000,G,0,2026-07-31,225000,2026-07-31,comprador-0002,A00,Atrasado,-28,450001806610,2026-07-31,,Fabricante 0029,N/A,FCA,CREDITO,ZCA640000000047,SI,PENDIENTE,PENDIENTE,INTERNACIONAL,Ambiente,CHINA,PENDIENTE,PENDIENTE,PENDIENTE,PENDIENTE
PRODUCCION,4500018188,10,CR10,PROV-0012,Proveedor 0012,11000216,Montelukast monosódico,1000034236,10,2026-06-16,2026-09-24,2026-06-29,3000,G,0,2026-08-28,3000,2026-08-28,comprador-0001,A00,A Tiempo,0,450001818810,2026-08-28,,Fabricante 0030,N/A,CIP,CREDITO,ZCA640000000085,SI,PENDIENTE,PENDIENTE,INTERNACIONAL,Ambiente,CHINA,AEREO,PENDIENTE,PENDIENTE,PENDIENTE
PRODUCCION,4500018189,10,CR10,PROV-0024,Proveedor 0024,11000389,Bromhidrato de vortioxetina,1000034288,10,2026-06-16,2026-11-16,2026-06-29,2000,G,0,2026-08-28,2000,2026-08-28,comprador-0001,A00,A Tiempo,0,450001818910,2026-08-28,,Fabricante 0031,N/A,CIP,CONTADO / SI,ZCA640000000110,PENDIENTE,PENDIENTE,PENDIENTE,INTERNACIONAL,Ambiente,,PENDIENTE,PENDIENTE,PENDIENTE,PENDIENTE
PRODUCCION,4500018198,10,CR10,PROV-0005,Proveedor 0005,11000108,Piridoxina clorhidrato (vitamina b6),1000034244,10,2026-06-16,2026-11-30,2026-06-30,900000,G,0,2026-07-17,900000,2026-07-17,comprador-0001,A00,Atrasado,-42,450001819810,2026-07-17,,Fabricante 0032,600,FCA,CREDITO,ZCA640000000103,SI,PENDIENTE,PENDIENTE,INTERNACIONAL,Ambiente,CHINA,PENDIENTE,PENDIENTE,PENDIENTE,PENDIENTE
PRODUCCION,4500018201,10,CR10,PROV-0005,Proveedor 0005,11000176,Vitamina d3 cristales (colecalciferol),1000034256,10,2026-06-16,2026-09-24,2026-06-30,1000,G,0,2026-07-24,1000,2026-07-24,comprador-0001,A00,Atrasado,-35,450001820110,2026-07-24,,Fabricante 0033,601,FCA,CREDITO,ZCA640000000132,EN PROCESO,PENDIENTE,PENDIENTE,INTERNACIONAL,Entre 2°-8° C,CHINA,PENDIENTE,PENDIENTE,PENDIENTE,PENDIENTE
